"#","RefDes","Value","Name","Manufacturer","Part Number (Digi-Key)","Quantity"
"65","R202","100k 0603","100k 0603","YAGEO RC0603JR-07100KL","311-100KGRCT-ND","0"
"66","R203","100k 0603","100k 0603","YAGEO RC0603JR-07100KL","311-100KGRCT-ND","0"
"67","R301","10k 0603","10k 0603","Yageo RC0603JR-0710KL","311-10KGRCT-ND","1"
"68","R302","10k 0603","RES 0603","","311-10KGRCT-ND","1"
"69","R303","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"70","R304","470 Ohm 0603","470 Ohm 0603","TE Connectivity CRGCQ0603J470R","A130089CT-ND","1"
"71","R401","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1"
"72","R402","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1"
"73","R403","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1"
"74","R404","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1"
"75","R405","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1"
"76","R406","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1"
"77","R407","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1"
"78","R408","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1"
"79","R409","12k 0603","12k 0603","Bourns RC0603JR-0712KL","311-12KGRCT-ND","1"
"80","R410","43k 0603","43k 0603","Yageo RC0603JR-0743KL","311-43KGRCT-ND","1"
"81","R501","10k 0603","RES 0603","","311-10KGRCT-ND","1"
"82","R502","10k 0603","RES 0603","","311-10KGRCT-ND","1"
"83","R503","1k 0603","RES 0603","","311-10KGRCT-ND","1"
"84","R504","1k 0603","1k 0603","","","1"
"85","R505","1MOhm 0603","RES 0603","","A130109CT-ND","1"
"86","R701","10k 0603","RES 0603","","311-10KGRCT-ND","1"
"87","R702","10k 0603","RES 0603","","311-10KGRCT-ND","1"
"88","R801","10k 0603","RES 0603","","311-10KGRCT-ND","1"
"89","R901","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"90","R902","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"91","R903","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"92","R904","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"93","R905","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"94","R906","22 Ohms 0603 0.1W","22 Ohms 0603 0.1W","TE Connectivity CRGCQ0603J22R","","1"
"95","S201","JS202011SCQN","JS202011SCQN","C&K","401-2002-2-ND","0"
"96","S401","","B3FS-1000P","OMRON","SW423DKR-ND","1"
"97","S402","","B3FS-1000P","OMRON","SW423DKR-ND","1"
"98","S403","","B3FS-1000P","OMRON","SW423DKR-ND","1"
"99","S404","","B3FS-1000P","OMRON","SW423DKR-ND","1"
"100","S405","","B3FS-1000P","OMRON","SW423DKR-ND","1"
"101","TP_3V3","","TestPoint","","","0"
"102","TP_5V0","","TestPoint","","","0"
